Olhanense,Ferreira,draw,16.04.2011,20:15,"Olhanense e Ferreira ficam empatados num emocionante confronto na Liga Portugal. Resumo do Jogo: No minuto 6, Caetano recebe um cartão amarelo. Mauricio comete uma falta grave e é expulso com um cartão vermelho aos 90+ minutos. "
Academica,Setubal,draw,15.04.2011,21:15,"Academica e Setubal ficam empatados num emocionante confronto na Liga Portugal. Resumo do Jogo: O golo de Fidalgo M. aos 3 minutos emociona os adeptos do Academica. O árbitro exibe um cartão amarelo a Sougou M. aos 4 minutos. Aos 4 minutos, o árbitro adverte Bischoff A. com um cartão amarelo. O árbitro exibe um cartão amarelo a Silva R. aos 4 minutos. O árbitro exibe um cartão amarelo a Valdomiro aos 4 minutos. O árbitro exibe um cartão amarelo a Zeca aos 5 minutos. No minuto 6, Żółta kartka / Pedro J. é expulso com um cartão vermelho. No minuto 6, Pedro J. recebe um cartão amarelo. Aos 6 minutos, o árbitro mostra o cartão vermelho a Żółta kartka / Sougou M.. No minuto 7, Berger M. recebe um cartão amarelo. No minuto 7, Neca recebe um cartão amarelo. O árbitro exibe um cartão amarelo a Grilo P. aos 7 minutos. Aos 8 minutos, Mejolaro C. marca um golo para a equipa visitante. Morais H. comete uma infração e recebe um cartão amarelo aos 8 minutos. No minuto 8, Michel recebe um cartão amarelo. "
Braga,Guimaraes,home,11.04.2011,21:15,"Vitória memorável para o Braga numa partida épica contra o Guimaraes na Liga Portugal. Resumo do Jogo: Silvio recebe um cartão amarelo aos 40+ minutos. Aos 4 minutos, o árbitro adverte Paulo J. com um cartão amarelo. No minuto 5, Ribeiro J. recebe um cartão amarelo. Paulao deixa a sua marca aos 6 minutos com um incrível golo. Aos 6 minutos, Ukra marca um golo para a equipa da casa. Miguel R. recebe um cartão amarelo aos 6 minutos. Silva A. deixa a sua marca aos 7 minutos com um incrível golo. Santana A. comete uma infração e recebe um cartão amarelo aos 80+ minutos. Penalty Edgar S. deixa a sua marca aos 90+ minutos com um incrível golo. O árbitro exibe um cartão amarelo a Kaka aos 90+ minutos. "
Naval,Benfica,home,10.04.2011,21:15,"O Naval domina o Benfica e sai vitorioso na Liga Portugal. Resumo do Jogo: Um golo crucial é apontado por Moraes B. aos 2 minutos para a equipa da casa. No minuto 2, Jara F. recebe um cartão amarelo. Kardec Alan deixa a sua marca aos 3 minutos com um incrível golo. Filipe L. recebe um cartão amarelo aos 6 minutos. Um golo crucial é apontado por Marinho aos 8 minutos para a equipa da casa. Camora M. recebe um cartão amarelo aos 8 minutos. "
Portimonense,FC Porto,away,10.04.2011,19:15,"O FC Porto brilha e vence o Portimonense na Liga Portugal. Resumo do Jogo: Sapunaru C. recebe um cartão amarelo aos 1 minutos. O golo de Hulk aos 4 minutos agita o jogo. No minuto 5, Ruben coloca o Portimonense em vantagem. Pessoa R. comete uma infração e recebe um cartão amarelo aos 6 minutos. Aos 6 minutos, Falcao marca um golo para a equipa visitante. Candeias D. recebe um cartão amarelo aos 7 minutos. Aos 8 minutos, Mourad G. marca um golo para a equipa da casa. Aos 8 minutos, o árbitro adverte Rolando com um cartão amarelo. Aos 8 minutos, Maicon marca um golo para a equipa visitante. "
Beira Mar,Olhanense,home,10.04.2011,17:00,"Vitória memorável para o Beira Mar numa partida épica contra o Olhanense na Liga Portugal. Resumo do Jogo: No minuto 5, Eduardo W. coloca o Beira Mar em vantagem. Wang Gang comete uma falta grave e é expulso com um cartão vermelho aos 8 minutos. Aos 8 minutos, o árbitro adverte Marques A. com um cartão amarelo. "
Ferreira,Rio Ave,away,10.04.2011,17:00,"O Rio Ave derrota o Ferreira em confronto emocionante na Liga Portugal. Resumo do Jogo: Rondon M. deixa a sua marca aos 1 minutos com um incrível golo. Leao A. recebe um cartão amarelo aos 4 minutos. Braga B. recebe um cartão amarelo aos 45+ minutos. Tomas J. deixa a sua marca aos 4 minutos com um incrível golo. No minuto 4, Bura recebe um cartão amarelo. O golo de Tomas J. aos 6 minutos agita o jogo. Ozeia recebe um cartão amarelo aos 7 minutos. O golo de Braga B. aos 7 minutos agita o jogo. Saulo deixa a sua marca aos 7 minutos com um incrível golo. Caetano recebe um cartão amarelo aos 7 minutos. Lionn recebe um cartão amarelo aos 7 minutos. Saulo deixa a sua marca aos 80+ minutos com um incrível golo. Tarantini comete uma infração e recebe um cartão amarelo aos 8 minutos. Aos 9 minutos, Tarantini marca um golo para a equipa visitante. Pinto T. comete uma infração e recebe um cartão amarelo aos 90+ minutos. "
Setubal,Leiria,home,10.04.2011,17:00,"Leiria sofre uma derrota nas mãos do Setubal na Liga Portugal. Resumo do Jogo: Pateiro R. recebe um cartão amarelo aos 1 minutos. No minuto 1, Zeca recebe um cartão amarelo. Um golo crucial é apontado por William aos 2 minutos para a equipa da casa. Silva R. recebe um cartão amarelo aos 4 minutos. O golo de Neca aos 4 minutos emociona os adeptos do Setubal. Aos 6 minutos, o árbitro adverte Santos N. com um cartão amarelo. Aos 7 minutos, Mejolaro C. marca um golo para a equipa da casa. Aos 8 minutos, Pedro J. marca um golo para a equipa da casa. Aos 8 minutos, Simoes F. marca um golo para a equipa visitante. "
Sporting,Academica,home,09.04.2011,21:15,"O Sporting domina o Academica e sai vitorioso na Liga Portugal. Resumo do Jogo: No minuto 3, Djalo Y. coloca o Sporting em vantagem. Aos 3 minutos, Djalo Y. marca um golo para a equipa da casa. Vukcevic S. comete uma infração e recebe um cartão amarelo aos 45+ minutos. O árbitro exibe um cartão amarelo a Nunes L. aos 5 minutos. No minuto 5, Zapater A. recebe um cartão amarelo. Santos A. recebe um cartão amarelo aos 7 minutos. O árbitro exibe um cartão amarelo a Sougou M. aos 8 minutos. "
Maritimo,Nacional,draw,08.04.2011,21:15,Partida bem disputada entre Maritimo e Nacional termina em empate na Liga Portugal. Resumo do Jogo: Um golo crucial é apontado por Djalma aos 1 minutos para a equipa da casa. O árbitro exibe um cartão amarelo a Mateus aos 2 minutos. Um golo crucial é apontado por Barcelos D. aos 4 minutos. Alberto L. comete uma infração e recebe um cartão amarelo aos 5 minutos. Amaral L. comete uma infração e recebe um cartão amarelo aos 6 minutos. Mihelic R. comete uma infração e recebe um cartão amarelo aos 8 minutos. 
Nacional,Ferreira,home,04.04.2011,21:15,"O Nacional domina o Ferreira e sai vitorioso na Liga Portugal. Resumo do Jogo: Costa E. deixa a sua marca aos 8 minutos com um incrível golo. O árbitro exibe um cartão amarelo a Simao D. aos 8 minutos. Amaro B. comete uma infração e recebe um cartão amarelo aos 8 minutos. Leao A. comete uma infração e recebe um cartão amarelo aos 8 minutos. No minuto 9, Olimpio L. recebe um cartão amarelo. Żółta kartka / Amaro B. é expulso com um cartão vermelho aos 90+ minutos. "
Benfica,FC Porto,away,03.04.2011,21:30,"Vitória histórica para o FC Porto sobre o Benfica na Liga Portugal. Resumo do Jogo: No minuto 0, Aimar P. recebe um cartão amarelo. Um golo crucial é apontado por Guarin F. aos 0 minutos. Airton comete uma infração e recebe um cartão amarelo aos 1 minutos. Aos 1 minutos, Penalty Saviola J. marca um golo para a equipa da casa. Aos 1 minutos, o árbitro adverte Otamendi N. com um cartão amarelo. Coentrao F. recebe um cartão amarelo aos 2 minutos. Aos 2 minutos, Penalty Hulk marca um golo para a equipa visitante. No minuto 2, Jimenez R. recebe um cartão amarelo. Aos 3 minutos, o árbitro adverte Fucile J. com um cartão amarelo. Aos 6 minutos, o árbitro adverte Garcia J. com um cartão amarelo. Żółta kartka / Otamendi N. é expulso com um cartão vermelho aos 7 minutos. Aos 8 minutos, o árbitro adverte Pereira A. com um cartão amarelo. No minuto 8, Cardozo O. é expulso com um cartão vermelho. O árbitro exibe um cartão amarelo a Jardel aos 8 minutos. Aos 90+ minutos, o árbitro adverte Moutinho J. com um cartão amarelo. "
Guimaraes,Sporting,draw,03.04.2011,19:15,"O Guimaraes empata com o Sporting num jogo onde ambas equipas estiveram em alto nível. Resumo do Jogo: Teles B. recebe um cartão amarelo aos 2 minutos. Aos 2 minutos, Penalty Fernandez M. marca um golo para a equipa visitante. O árbitro exibe um cartão amarelo a Targino T. aos 3 minutos. Carrico D. comete uma infração e recebe um cartão amarelo aos 4 minutos. O árbitro exibe um cartão amarelo a Polga A. aos 45+ minutos. Fernandez M. recebe um cartão amarelo aos 5 minutos. No minuto 7, Ribeiro J. recebe um cartão amarelo. No minuto 90+, Paulo J. coloca o Guimaraes em vantagem. "
Olhanense,Naval,away,03.04.2011,17:00,"O Naval derrota o Olhanense em confronto emocionante na Liga Portugal. Resumo do Jogo: Aos 1 minutos, o árbitro adverte Almeida A. com um cartão amarelo. Aos 6 minutos, o árbitro adverte Goncalves J. com um cartão amarelo. O árbitro exibe um cartão amarelo a Djalmir aos 6 minutos. Moraes B. deixa a sua marca aos 7 minutos com um incrível golo. No minuto 7, Moraes B. coloca o Naval em vantagem. No minuto 7, Marinho recebe um cartão amarelo. No minuto 9, Edvaldo coloca o Naval em vantagem. Aos 9 minutos, Djalmir marca um golo para a equipa da casa. Aos 9 minutos, o árbitro adverte Giuliano com um cartão amarelo. Moraes B. comete uma infração e recebe um cartão amarelo aos 9 minutos. "
Rio Ave,Setubal,home,03.04.2011,17:00,"Em casa, o Rio Ave conquista uma vitória decisiva contra o Setubal na Liga Portugal. Resumo do Jogo: No minuto 2, Sassa recebe um cartão amarelo. Aos 2 minutos, Yazalde marca um golo para a equipa da casa. Santos N. comete uma infração e recebe um cartão amarelo aos 2 minutos. O árbitro exibe um cartão amarelo a Gama B. aos 3 minutos. Gomes V. comete uma infração e recebe um cartão amarelo aos 45+ minutos. Zeca recebe um cartão amarelo aos 5 minutos. No minuto 6, Anderson do O recebe um cartão amarelo. No minuto 7, Tomas J. recebe um cartão amarelo. No minuto 7, Gaspar recebe um cartão amarelo. No minuto 9, Saulo coloca o Rio Ave em vantagem. "
